id,name,created_at,updated_at,ancestry
1,レディース,2018-02-01 00:00:00,2018-02-01 00:00:00
2,メンズ,2018-02-01 00:00:00,2018-02-01 00:00:00
3,ベビー・キッズ,2018-02-01 00:00:00,2018-02-01 00:00:00
4,インテリア・住まい・小物,2018-02-01 00:00:00,2018-02-01 00:00:00
5,本・音楽・ゲーム,2018-02-01 00:00:00,2018-02-01 00:00:00
6,コスメ・香水・美容,2018-02-01 00:00:00,2018-02-01 00:00:00
7,家電・スマホ・カメラ,2018-02-01 00:00:00,2018-02-01 00:00:00
8,スポーツ・レジャー,2018-02-01 00:00:00,2018-02-01 00:00:00
9,ハンドメイド,2018-02-01 00:00:00,2018-02-01 00:00:00
1027,チケット,2018-02-01 00:00:00,2018-02-01 00:00:00
1318,自動車・オートバイ,2018-02-01 00:00:00,2018-02-01 00:00:00
10,その他,2018-02-01 00:00:00,2018-02-01 00:00:00
